batch-number,read-count,write-count,fd-4,fd-5,fd-6,fd-29,fd-n,read-max,write-max,read-got,write-got,read-time,write-time,total-entries-batch,is-malicious
1,2,6,0,2,5,0,1,512,8,16,44,2.4e-05,7.8e-05,8,0
2,191,338,64,127,315,0,23,512,8,9208,2612,0.002311,0.00418,529,0
3,211,382,63,135,371,0,24,512,8,9248,3020,0.002424999999999999,0.0044269999999999995,593,0
4,195,334,65,130,321,0,13,512,8,9360,2620,0.0023109999999999997,0.003951999999999999,529,0
5,189,320,63,126,304,0,16,512,8,9072,2496,0.0022059999999999996,0.0038019999999999994,509,0
6,189,323,63,126,315,0,8,512,8,9072,2552,0.0022129999999999997,0.0037939999999999996,512,0
7,30,53,10,20,50,0,3,512,8,1440,412,0.000357,0.0006570000000000001,83,0
8,107,188,35,72,179,0,9,512,8,5056,1468,0.0012479999999999998,0.002214,295,0
9,192,343,64,128,317,0,26,512,8,9216,2640,0.0022099999999999993,0.003986,535,0
10,192,333,64,128,310,0,23,512,8,9216,2572,0.002168,0.003867999999999999,525,0
11,188,321,63,126,300,0,20,512,8,9064,2488,0.0021529999999999995,0.0037339999999999995,509,0
12,192,325,64,128,311,0,14,512,8,9216,2544,0.0021539999999999997,0.0036759999999999996,517,0
13,98,172,33,66,158,0,13,512,8,4744,1324,0.0011399999999999997,0.0020619999999999996,270,0
14,125,222,41,84,205,17,0,512,8,5920,1708,0.0014089999999999994,0.0025909999999999996,347,0
15,183,319,61,122,300,19,0,512,8,8784,2476,0.0020369999999999997,0.0035779999999999996,502,0
16,184,319,62,123,300,18,0,512,8,8912,2480,0.002091,0.003541,503,0
17,180,324,60,120,297,27,0,512,8,8640,2484,0.0020259999999999996,0.00376,504,0
18,183,330,61,122,301,29,0,512,8,8784,2524,0.0020639999999999994,0.0037939999999999996,513,0
19,69,121,23,46,114,7,0,512,8,3312,940,0.0007710000000000001,0.0013629999999999998,190,0
20,50,89,16,34,82,0,7,512,8,2320,684,0.000563,0.0010329999999999998,139,0
21,183,310,61,122,298,0,12,512,8,8784,2432,0.0021709999999999998,0.0036959999999999996,493,0
22,180,307,60,120,293,0,14,512,8,8640,2400,0.002157,0.003665,487,0
23,181,316,61,121,295,0,20,512,8,8768,2448,0.0020959999999999998,0.0037199999999999998,497,0
24,186,326,62,124,301,0,25,512,8,8928,2508,0.0021409999999999997,0.003871,512,0
25,144,246,48,96,235,0,11,512,8,6912,1924,0.0016749999999999998,0.0029289999999999993,390,0
26,38,67,12,26,64,0,3,512,8,1744,524,0.00045000000000000004,0.0008159999999999999,105,0
27,195,333,65,130,322,0,11,512,8,9360,2620,0.0023029999999999995,0.003932,528,0
28,208,368,62,133,356,0,25,512,8,9104,2904,0.0024249999999999996,0.004336,576,0
29,189,319,63,126,311,0,8,512,8,9072,2520,0.0022559999999999998,0.003874,508,0
30,195,328,65,130,320,0,8,512,8,9360,2592,0.002302,0.003906999999999999,523,0
31,171,293,57,114,284,0,9,512,8,8208,2308,0.0020519999999999996,0.0034489999999999994,464,0
32,92,163,30,62,151,12,0,512,8,4336,1256,0.0010259999999999998,0.001878,255,0
33,180,319,60,120,292,27,0,512,8,8640,2444,0.0019809999999999997,0.003653,499,0
34,180,317,60,120,290,27,0,512,8,8640,2428,0.0020309999999999994,0.0036829999999999996,497,0
35,183,318,61,122,296,22,0,512,8,8784,2456,0.0020930000000000002,0.0037059999999999997,501,0
36,180,314,60,120,296,18,0,512,8,8640,2440,0.0020109999999999998,0.0035889999999999993,494,0
37,105,181,35,70,171,10,0,512,8,5040,1408,0.0012339999999999996,0.0021669999999999997,286,0
38,38,74,14,32,64,0,2,512,8,1984,584,0.000441,0.000884,112,0
39,290,550,117,248,470,0,5,512,8,16360,4380,0.0033109999999999997,0.006246999999999999,840,0
40,311,601,121,249,514,5,23,512,8,17008,4768,0.0036409999999999993,0.006955999999999999,912,0
41,299,555,121,248,481,0,4,512,8,16912,4424,0.003387,0.006229,854,0
42,304,571,122,254,493,0,6,512,8,17068,4548,0.0034709999999999993,0.006496999999999999,875,0
43,290,566,116,248,478,0,14,512,8,16240,4472,0.003286,0.006442999999999999,856,0
44,489,1662,112,720,1311,0,8,512,8,17352,13264,0.005477999999999999,0.018919999999999996,2151,0
45,970,3780,158,1624,2966,0,2,512,8,26720,30232,0.010637999999999998,0.042183999999999985,4750,0
46,1104,3544,289,1631,2724,0,4,512,8,43512,28336,0.012135999999999997,0.03945299999999999,4648,0
47,924,3878,112,1622,3068,0,0,512,8,20832,31024,0.010143999999999999,0.043295999999999994,4802,0
48,1014,3729,199,1630,2912,0,2,512,8,31992,29824,0.011135999999999997,0.041637999999999994,4743,0
49,467,1546,116,702,1195,0,0,512,8,17656,12368,0.005135,0.017272999999999997,2013,0
50,5,10,1,4,10,0,0,512,8,160,80,5.6e-05,0.00011299999999999998,15,0
51,183,305,61,122,305,0,0,512,8,8784,2440,0.0023479999999999994,0.004024,488,0
52,180,300,60,120,300,0,0,512,8,8640,2400,0.0021599999999999996,0.0035439999999999994,480,0
53,183,305,61,122,305,0,0,512,8,8784,2440,0.002099999999999999,0.0034229999999999994,488,0
54,183,305,61,122,305,0,0,512,8,8784,2440,0.0020989999999999993,0.0034189999999999993,488,0
55,180,300,60,120,300,0,0,512,8,8640,2400,0.0020209999999999994,0.0033169999999999996,480,0
56,21,35,7,14,35,0,0,512,8,1008,280,0.00023899999999999998,0.000392,56,0
57,53,94,17,36,89,0,5,512,8,2464,732,0.0005930000000000002,0.0010769999999999998,147,0
58,183,320,61,122,299,0,21,512,8,8784,2476,0.0021049999999999992,0.0037309999999999995,503,0
59,180,317,60,120,292,0,25,512,8,8640,2436,0.0021639999999999993,0.003925,497,0
60,183,321,61,122,296,0,25,512,8,8784,2468,0.002188,0.00395,504,0
61,183,312,61,122,297,0,15,512,8,8784,2436,0.002104,0.003632,495,0
62,144,256,48,96,237,0,19,512,8,6912,1972,0.0017059999999999998,0.0030589999999999992,400,0
63,160,274,53,108,261,0,12,512,8,7640,2144,0.0018499999999999996,0.010192,434,0
64,180,304,60,120,287,0,17,512,8,8640,2364,0.0023049999999999998,0.0038899999999999994,484,0
65,183,312,61,122,299,0,13,512,8,8784,2444,0.0024659999999999994,0.004376,495,0
66,183,314,61,122,295,0,19,512,8,8784,2436,0.002227,0.003918999999999999,497,0
