batch-number,read-count,write-count,fd-4,fd-5,fd-6,fd-29,fd-n,read-max,write-max,read-got,write-got,read-time,write-time,total-entries-batch,is-malicious
1,0.0003299241,0.0010980966,0.0000000000,0.0003518030,0.0015183723,0.0000000000,0.0001924928,1.0000000000,1.0000000000,0.0001200000,0.0013184706,0.0003047774,0.0009361947,0.0011421113,0
2,0.0626855823,0.0618594436,0.0877914952,0.0223394899,0.0956574552,0.0000000000,0.0044273340,1.0000000000,1.0000000000,0.0920400000,0.0782692077,0.0583902674,0.0501704355,0.0861478218,0
3,0.0692840647,0.0699121523,0.0864197531,0.0237467018,0.1126632250,0.0000000000,0.0046198268,1.0000000000,1.0000000000,0.0924400000,0.0904950258,0.0612856526,0.0531350521,0.0965899821,0
4,0.0640052788,0.0611273792,0.0891632373,0.0228671944,0.0974795020,0.0000000000,0.0025024062,1.0000000000,1.0000000000,0.0935600000,0.0785089296,0.0583902674,0.0474338662,0.0861478218,0
5,0.0620257341,0.0585651537,0.0864197531,0.0221635884,0.0923170361,0.0000000000,0.0030798845,1.0000000000,1.0000000000,0.0906800000,0.0747932398,0.0557234653,0.0456334918,0.0828846468,0
6,0.0620257341,0.0591142020,0.0864197531,0.0221635884,0.0956574552,0.0000000000,0.0015399423,1.0000000000,1.0000000000,0.0906800000,0.0764712933,0.0559012521,0.0455374718,0.0833741230,0
7,0.0095677994,0.0096998536,0.0137174211,0.0035180299,0.0151837230,0.0000000000,0.0005774783,1.0000000000,1.0000000000,0.0143600000,0.0123456790,0.0087623498,0.0078856402,0.0133790178,0
8,0.0349719565,0.0344070278,0.0480109739,0.0126649077,0.0543577285,0.0000000000,0.0017324350,1.0000000000,1.0000000000,0.0505200000,0.0439889728,0.0313920707,0.0265735273,0.0479686735,0
9,0.0630155064,0.0627745242,0.0877914952,0.0225153914,0.0962648041,0.0000000000,0.0050048123,1.0000000000,1.0000000000,0.0921200000,0.0791082344,0.0558250578,0.0478419511,0.0871267744,0
10,0.0630155064,0.0609443631,0.0877914952,0.0225153914,0.0941390829,0.0000000000,0.0044273340,1.0000000000,1.0000000000,0.0921200000,0.0770705981,0.0547583369,0.0464256565,0.0854951868,0
11,0.0616958100,0.0587481698,0.0864197531,0.0221635884,0.0911023383,0.0000000000,0.0038498556,1.0000000000,1.0000000000,0.0906000000,0.0745535179,0.0543773652,0.0448173220,0.0828846468,0
12,0.0630155064,0.0594802343,0.0877914952,0.0225153914,0.0944427574,0.0000000000,0.0026948989,1.0000000000,1.0000000000,0.0921200000,0.0762315714,0.0544027633,0.0441211772,0.0841899168,0
13,0.0320026394,0.0314787701,0.0452674897,0.0116094987,0.0479805648,0.0000000000,0.0025024062,1.0000000000,1.0000000000,0.0474000000,0.0396739782,0.0286490742,0.0247491478,0.0438897047,0
14,0.0409105906,0.0406295754,0.0562414266,0.0147757256,0.0622532645,0.5000000000,0.0000000000,1.0000000000,1.0000000000,0.0591600000,0.0511806305,0.0354811673,0.0310984685,0.0564529287,0
15,0.0600461894,0.0583821376,0.0836762689,0.0214599824,0.0911023383,0.5588235294,0.0000000000,1.0000000000,1.0000000000,0.0878000000,0.0741939350,0.0514311838,0.0429449325,0.0817425355,0
16,0.0603761135,0.0583821376,0.0850480110,0.0216358839,0.0911023383,0.5294117647,0.0000000000,1.0000000000,1.0000000000,0.0890800000,0.0743137960,0.0528026820,0.0425008402,0.0819056942,0
17,0.0590564170,0.0592972182,0.0823045267,0.0211081794,0.0901913149,0.7941176471,0.0000000000,1.0000000000,1.0000000000,0.0863600000,0.0744336570,0.0511518045,0.0451293869,0.0820688530,0
18,0.0600461894,0.0603953148,0.0836762689,0.0214599824,0.0914060128,0.8529411765,0.0000000000,1.0000000000,1.0000000000,0.0878000000,0.0756322666,0.0521169329,0.0455374718,0.0835372818,0
19,0.0224348400,0.0221449488,0.0315500686,0.0080914688,0.0346188886,0.2058823529,0.0000000000,1.0000000000,1.0000000000,0.0330800000,0.0281673259,0.0192771696,0.0163594028,0.0308370044,0
20,0.0161662818,0.0162884334,0.0219478738,0.0059806508,0.0249013058,0.0000000000,0.0013474495,1.0000000000,1.0000000000,0.0231600000,0.0204962244,0.0139943616,0.0123985789,0.0225159080,0
21,0.0600461894,0.0567349927,0.0836762689,0.0214599824,0.0904949894,0.0000000000,0.0023099134,1.0000000000,1.0000000000,0.0878000000,0.0728754645,0.0548345313,0.0443612271,0.0802741067,0
22,0.0590564170,0.0561859444,0.0823045267,0.0211081794,0.0889766171,0.0000000000,0.0026948989,1.0000000000,1.0000000000,0.0863600000,0.0719165768,0.0544789577,0.0439891497,0.0792951542,0
23,0.0593863411,0.0578330893,0.0836762689,0.0212840809,0.0895839660,0.0000000000,0.0038498556,1.0000000000,1.0000000000,0.0876400000,0.0733549083,0.0529296726,0.0446492871,0.0809267417,0
24,0.0610359617,0.0596632504,0.0850480110,0.0218117854,0.0914060128,0.0000000000,0.0048123195,1.0000000000,1.0000000000,0.0892400000,0.0751528227,0.0540725878,0.0464616640,0.0833741230,0
25,0.0471791488,0.0450219619,0.0658436214,0.0168865435,0.0713634983,0.0000000000,0.0021174206,1.0000000000,1.0000000000,0.0690800000,0.0576531224,0.0422370660,0.0351553123,0.0634687551,0
26,0.0122071923,0.0122620791,0.0164609053,0.0045734389,0.0194351655,0.0000000000,0.0005774783,1.0000000000,1.0000000000,0.0174000000,0.0157017859,0.0111243746,0.0097940372,0.0169685104,0
27,0.0640052788,0.0609443631,0.0891632373,0.0228671944,0.0977831764,0.0000000000,0.0021174206,1.0000000000,1.0000000000,0.0935600000,0.0785089296,0.0581870825,0.0471938163,0.0859846631,0
28,0.0682942923,0.0673499268,0.0850480110,0.0233948989,0.1081081081,0.0000000000,0.0048123195,1.0000000000,1.0000000000,0.0910000000,0.0870190579,0.0612856526,0.0520428249,0.0938162832,0
29,0.0620257341,0.0583821376,0.0864197531,0.0221635884,0.0944427574,0.0000000000,0.0015399423,1.0000000000,1.0000000000,0.0906800000,0.0755124056,0.0569933711,0.0464976715,0.0827214880,0
30,0.0640052788,0.0600292826,0.0891632373,0.0228671944,0.0971758275,0.0000000000,0.0015399423,1.0000000000,1.0000000000,0.0935600000,0.0776699029,0.0581616844,0.0468937539,0.0851688693,0
31,0.0560871000,0.0536237189,0.0781893004,0.0200527704,0.0862435469,0.0000000000,0.0017324350,1.0000000000,1.0000000000,0.0820400000,0.0691597747,0.0518121555,0.0413966105,0.0755425029,0
32,0.0300230947,0.0298316252,0.0411522634,0.0109058927,0.0458548436,0.3529411765,0.0000000000,1.0000000000,1.0000000000,0.0433200000,0.0376363418,0.0257536891,0.0225406885,0.0414423234,0
33,0.0590564170,0.0583821376,0.0823045267,0.0211081794,0.0886729426,0.7941176471,0.0000000000,1.0000000000,1.0000000000,0.0863600000,0.0732350473,0.0500088893,0.0438451198,0.0812530592,0
