batch-number,read-count,write-count,fd-4,fd-5,fd-6,fd-29,fd-n,read-max,write-max,read-got,write-got,read-time,write-time,total-entries-batch,is-malicious
1,-0.8281049675,-0.9569174456,-0.6131938064,-0.7061571162,-0.5830243318,-0.2487921565,-0.2326937930,0.1614974456,0.1490711985,-0.9023325009,-0.9399755844,-0.8512541326,-0.9274616666,-1.0003923612,0
2,-0.6441576014,-0.7376701110,-0.1496760970,-0.6451834799,-0.2636181842,-0.2487921565,-0.2071630832,0.1614974456,0.1490711985,-0.4131695843,-0.7049909211,-0.6649579616,-0.7248446574,-0.7737703207,0
3,-0.6246922716,-0.7086132353,-0.1569185612,-0.6412811671,-0.2059190092,-0.2487921565,-0.2060025964,0.1614974456,0.1490711985,-0.4110409380,-0.6676569091,-0.6556716637,-0.7126441695,-0.7459319126,0
4,-0.6402645354,-0.7403116451,-0.1424336328,-0.6437201126,-0.2574361298,-0.2487921565,-0.2187679513,0.1614974456,0.1490711985,-0.4050807284,-0.7042588816,-0.6649579616,-0.7361066462,-0.7737703207,0
5,-0.6461041343,-0.7495570147,-0.1569185612,-0.6456712690,-0.2749519508,-0.2487921565,-0.2152864909,0.1614974456,0.1490711985,-0.4204069817,-0.7156054931,-0.6735111308,-0.7435158494,-0.7824698232,0
6,-0.6461041343,-0.7475758640,-0.1569185612,-0.6456712690,-0.2636181842,-0.2487921565,-0.2245703853,0.1614974456,0.1490711985,-0.4204069817,-0.7104812170,-0.6729409196,-0.7439110069,-0.7811648978,0
7,-0.8008535059,-0.9258794193,-0.5407691643,-0.6973769126,-0.5366589233,-0.2487921565,-0.2303728194,0.1614974456,0.1490711985,-0.8265526931,-0.9063017698,-0.8241283674,-0.8988621424,-0.9677692268,0
8,-0.7259119863,-0.8367276417,-0.3597075590,-0.6720118799,-0.4037447522,-0.2487921565,-0.2234098985,0.1614974456,0.1490711985,-0.6341230688,-0.8096725624,-0.7515486174,-0.8219546135,-0.8755545001,0
9,-0.6431843349,-0.7343681933,-0.1496760970,-0.6446956908,-0.2615574994,-0.2487921565,-0.2036816228,0.1614974456,0.1490711985,-0.4127438550,-0.7024287830,-0.6731852958,-0.7344272268,-0.7711604699,0
10,-0.6431843349,-0.7409720287,-0.1496760970,-0.6446956908,-0.2687698963,-0.2487921565,-0.2071630832,0.1614974456,0.1490711985,-0.4127438550,-0.7086511183,-0.6766065635,-0.7402558000,-0.7755102212,0
11,-0.6470774008,-0.7488966311,-0.1569185612,-0.6456712690,-0.2790733204,-0.2487921565,-0.2106445436,0.1614974456,0.1490711985,-0.4208327109,-0.7163375326,-0.6778284448,-0.7468746882,-0.7824698232,0
12,-0.6431843349,-0.7462550970,-0.1496760970,-0.6446956908,-0.2677395539,-0.2487921565,-0.2176074645,0.1614974456,0.1490711985,-0.4127438550,-0.7112132564,-0.6777469861,-0.7497395800,-0.7789900222,0
13,-0.7346713847,-0.8472937783,-0.3741924875,-0.6749386144,-0.4253819428,-0.2487921565,-0.2187679513,0.1614974456,0.1490711985,-0.6507265098,-0.8228492725,-0.7603461629,-0.8294626061,-0.8864288783,0
14,-0.7083931896,-0.8142746014,-0.3162527738,-0.6661584108,-0.3769558495,3.3361420127,-0.2338542798,0.1614974456,0.1490711985,-0.5881443090,-0.7877113789,-0.7384337580,-0.8033328163,-0.8529357936,0
15,-0.6519437333,-0.7502173982,-0.1714034896,-0.6476224253,-0.2790733204,3.7578989738,-0.2338542798,0.1614974456,0.1490711985,-0.4357332349,-0.7174355917,-0.6872776603,-0.7545802594,-0.7855146491,0
16,-0.6509704668,-0.7502173982,-0.1641610254,-0.6471346362,-0.2790733204,3.5470204933,-0.2338542798,0.1614974456,0.1490711985,-0.4289215668,-0.7170695720,-0.6828788876,-0.7564078629,-0.7850796740,0
17,-0.6548635327,-0.7469154805,-0.1786459538,-0.6485980035,-0.2821643476,5.4449268182,-0.2338542798,0.1614974456,0.1490711985,-0.4433963616,-0.7167035523,-0.6881737066,-0.7455904263,-0.7846446988,0
